date,assets_type,dpu_sen,nav_rm,period,price_rm,name,yield
2016-08-august,Diversified,2.1413,1.3386,Q4 – Jun16,1.14,YTL Hospitality Reit,6.929%
2016-08-august,Office,4.23,1.3198,1H – Jun16,1.25,MRCB Quill Reit,6.768%
2016-08-august,Retail,2.6,1.4584,Q2 – Jun16,1.57,Hektar Real Estate Inv Trust,6.688%
2016-08-august,Retail,1.49,1.1725,Q2 – Jun16,0.955,AmanahRaya REIT,6.670%
2016-08-august,Office,3.07,1.2591,2H – Mar16,0.775,AmFirst Reit,6.581%
2016-08-august,Office,5.22,1.6572,1H – Jun16,1.72,UOA Real Estate Inv Trust,6.349%
2016-08-august,Office,3.2,1.9424,1H – Jun16,1.2,Tower Real Estate Inv Trust,5.775%
2016-08-august,Diversified,2.12,1.3549,Q4 – Jun16,1.72,Sunway Reit,5.337%
2016-08-august,Industrial,1.5,1.453,Q2 – Jun16,1.08,Atrium Real Estate Investment,5.324%
2016-08-august,Malls,4.2,1.2803,1H – Jun16,1.57,CapitaLand Malaysia Mall,5.217%
2016-08-august,Malls,4.41,1.0526,1H – Jun16,1.7,IGB Real Estate Investment Trust,4.782%
2016-08-august,Office,2.05,1.2465,Q2 – Jun16,1.8,Axis Real Estate Inv Trust,4.556%
2016-08-august,Malls,4.16,1.2751,1H – Jun16,1.85,Pavilion Real Estate Investment Trust,4.486%
2016-08-august,Plantation,3.9,1.2082,1H – Jun16,1.7,Al-AQAR Healthcare Reit,3.782%
