date,assets_type,dpu_sen,nav_rm,period,price_rm,name,yield
2016-09-september,Diversified,2.1413,1.3386,Q4 – Jun16,1.15,YTL Hospitality Reit,6.869%
2016-09-september,Retail,1.49,1.1725,Q2 – Jun16,0.935,AmanahRaya REIT,6.813%
2016-09-september,Office,4.23,1.3198,1H – Jun16,1.25,MRCB Quill Reit,6.768%
2016-09-september,Retail,2.6,1.4584,Q2 – Jun16,1.57,Hektar Real Estate Inv Trust,6.688%
2016-09-september,Office,5.22,1.6572,1H – Jun16,1.71,UOA Real Estate Inv Trust,6.386%
2016-09-september,Office,3.07,1.2591,2H – Mar16,0.805,AmFirst Reit,6.335%
2016-09-september,Office,3.2,1.9424,1H – Jun16,1.21,Tower Real Estate Inv Trust,5.727%
2016-09-september,Industrial,1.5,1.453,Q2 – Jun16,1.08,Atrium Real Estate Investment,5.324%
2016-09-september,Diversified,2.12,1.3549,Q4 – Jun16,1.73,Sunway Reit,5.306%
2016-09-september,Malls,4.2,1.2803,1H – Jun16,1.55,CapitaLand Malaysia Mall,5.284%
2016-09-september,Malls,4.41,1.0526,1H – Jun16,1.64,IGB Real Estate Investment Trust,4.957%
2016-09-september,Malls,4.16,1.2751,1H – Jun16,1.77,Pavilion Real Estate Investment Trust,4.689%
2016-09-september,Office,2.05,1.2465,Q2 – Jun16,1.75,Axis Real Estate Inv Trust,4.686%
2016-09-september,Plantation,3.9,1.2082,1H – Jun16,1.51,Al-AQAR Healthcare Reit,4.258%
