date,assets_type,dpu_sen,nav_rm,period,price_rm,name,yield
2016-11-november,Diversified,2.05,1.4783,Q1 – Sep16,1.15,YTL Hospitality Reit,6.982%
2016-11-november,Office,4.23,1.3175,1H – Jun16,1.22,MRCB Quill Reit,6.934%
2016-11-november,Retail,1.42,1.1584,Q3 – Sep16,0.925,AmanahRaya REIT,6.789%
2016-11-november,Retail,2.6,1.4574,Q3 – Sep16,1.61,Hektar Real Estate Inv Trust,6.522%
2016-11-november,Office,5.22,1.6582,1H – Jun16,1.69,UOA Real Estate Inv Trust,6.462%
2016-11-november,Office,1.93,1.267,1H – Sep16,0.78,AmFirst Reit,6.410%
2016-11-november,Office,3.2,1.9424,1H – Jun16,1.19,Tower Real Estate Inv Trust,5.824%
2016-11-november,Diversified,2.77,1.3547,Q1 – Sep16,1.74,Sunway Reit,5.649%
2016-11-november,Malls,4.2,1.2798,1H – Jun16,1.56,CapitaLand Malaysia Mall,5.250%
2016-11-november,Malls,4.41,1.0732,1H – Jun16,1.58,IGB Real Estate Investment Trust,5.146%
2016-11-november,Industrial,1.5,1.4255,Q3 – Sep16,1.09,Atrium Real Estate Investment,5.138%
2016-11-november,Office,2.05,1.259,Q3 – Sep16,1.68,Axis Real Estate Inv Trust,4.881%
2016-11-november,Malls,4.16,1.2536,1H – Jun16,1.77,Pavilion Real Estate Investment Trust,4.689%
2016-11-november,Plantation,3.9,1.2105,1H – Jun16,1.64,Al-AQAR Healthcare Reit,3.921%
