date,assets_type,dpu_sen,nav_rm,period,price_rm,name,yield
2016-12-december,Diversified,2.05,1.4783,Q1 – Sep16,1.09,YTL Hospitality Reit,7.366%
2016-12-december,Office,4.23,1.3175,1H – Jun16,1.2,MRCB Quill Reit,7.050%
2016-12-december,Retail,1.42,1.1584,Q3 – Sep16,0.92,AmanahRaya REIT,6.826%
2016-12-december,Retail,2.6,1.4574,Q3 – Sep16,1.56,Hektar Real Estate Inv Trust,6.731%
2016-12-december,Office,1.93,1.267,1H – Sep16,0.775,AmFirst Reit,6.452%
2016-12-december,Office,5.22,1.6582,1H – Jun16,1.76,UOA Real Estate Inv Trust,6.205%
2016-12-december,Office,3.2,1.9424,1H – Jun16,1.17,Tower Real Estate Inv Trust,5.923%
2016-12-december,Diversified,2.77,1.3547,Q1 – Sep16,1.72,Sunway Reit,5.715%
2016-12-december,Malls,4.2,1.2798,1H – Jun16,1.53,CapitaLand Malaysia Mall,5.353%
2016-12-december,Industrial,1.5,1.4255,Q3 – Sep16,1.09,Atrium Real Estate Investment,5.138%
2016-12-december,Office,2.05,1.259,Q3 – Sep16,1.61,Axis Real Estate Inv Trust,5.093%
2016-12-december,Malls,4.41,1.0732,1H – Jun16,1.61,IGB Real Estate Investment Trust,5.050%
2016-12-december,Malls,4.16,1.2536,1H – Jun16,1.9,Pavilion Real Estate Investment Trust,4.368%
2016-12-december,Plantation,3.9,1.2105,1H – Jun16,1.57,Al-AQAR Healthcare Reit,4.096%
