date,assets_type,dpu_sen,nav_rm,period,price_rm,name,yield
2017-01-january,Diversified,2.05,1.4783,Q1 – Sep16,1.17,YTL Hospitality Reit,6.862%
2017-01-january,Office,4.23,1.3175,1H – Jun16,1.3,MRCB Quill Reit,6.508%
2017-01-january,Retail,1.42,1.1584,Q3 – Sep16,0.93,AmanahRaya REIT,6.753%
2017-01-january,Retail,2.6,1.4574,Q3 – Sep16,1.6,Hektar Real Estate Inv Trust,6.563%
2017-01-january,Office,1.93,1.267,1H – Sep16,0.795,AmFirst Reit,6.289%
2017-01-january,Office,5.22,1.6582,1H – Jun16,1.77,UOA Real Estate Inv Trust,6.169%
2017-01-january,Office,3.2,1.9424,1H – Jun16,1.2,Tower Real Estate Inv Trust,5.775%
2017-01-january,Diversified,2.77,1.3547,Q1 – Sep16,1.73,Sunway Reit,5.682%
2017-01-january,Malls,4.2,1.2798,1H – Jun16,1.6,CapitaLand Malaysia Mall,5.119%
2017-01-january,Industrial,1.5,1.4255,Q3 – Sep16,1.1,Atrium Real Estate Investment,5.091%
2017-01-january,Office,2.05,1.259,Q3 – Sep16,1.63,Axis Real Estate Inv Trust,5.031%
2017-01-january,Malls,4.41,1.0732,1H – Jun16,1.71,IGB Real Estate Investment Trust,4.754%
2017-01-january,Malls,4.16,1.2536,1H – Jun16,1.82,Pavilion Real Estate Investment Trust,4.560%
2017-01-january,Plantation,3.9,1.2105,1H – Jun16,1.59,Al-AQAR Healthcare Reit,4.044%
